X,Y,tyyp_t,korgus
473371.137999997,6533617.027,Torn,"18"
473364.228,6532710.432,Torn,"20"
473261.796999998,6533946.94,Torn,"24"
473292.847000003,6534236.214,Torn,"15"
473601.471000001,6534517.564,Torn,"38"
476282.615000002,6534120.847,Sidemast,"120"
476153.081,6533341.271,Sidemast,"43"
476466.695,6534073.08,Sidemast,"118"
472039.307999998,6535510.564,Torn,"20"
472526.890000001,6535745.49,Valgusmast,"21"
472594.089000002,6535801.531,Valgusmast,"26"
473049.740000002,6535066.927,Torn,"18"
555230.5,6562310.65,Torn,"24"
556018.013999999,6562016.669,Sidemast,"80"
482914.049999997,6535816.94,Sidemast,"60"
485052.159000002,6535088.717,Korsten,"30"
485151.182999998,6535240.747,Torn,"15"
489193.414999999,6535217.242,Sidemast,"80"
487066.847000003,6536071.419,Sidemast,"28"
674968.369999997,6402229.133,Torn,"28"
610635.32,6456417.09,Sidemast,"100"
534815.695,6579134.867,Korsten,"30"
616520.659999996,6455233.24,Torn,"36"
556117.325000003,6444910.3,Korsten,"26"
554882.468000002,6447161.391,Valgusmast,"20"
601284.141999997,6529771.37,Sidemast,"80"
609719.678999998,6509140.684,Sidemast,"27"
556351.983000003,6446089.301,Korsten,"26"
557087.325999998,6445579.179,Korsten,"30"
557761.460000001,6446482.704,Sidemast,"80"
557100.182999998,6445650.895,Korsten,"34"
560581.478,6444369.805,Korsten,"20"
561368.506999999,6445445.804,Korsten,"30"
570207.43,6442934.96,Korsten,"30"
572953.229999997,6442707.18,Sidemast,"82"
528275.825999998,6450845.866,Sidemast,"80"
537072.193000004,6570377.978,Sidemast,"60"
534582.479999997,6456531.23,Sidemast,"80"
535778.306999996,6458535.654,Sidemast,"85"
543624.998000003,6456989.879,Sidemast,"67"
551648.795999996,6458485.109,Torn,"37"
431891.390000001,6464170.01,Torn,"10"
453899.009999998,6409120.73,Torn,"15"
423019.071999997,6470566.496,Valgusmast,"22"
487297.068000004,6536077.694,Torn,"52"
525199.156999998,6529379.061,Sidemast,"26"
494687.713,6535045.926,Korsten,"45"
490521.689999998,6536726.68,Sidemast,"100"
494073.891999997,6537434.832,Sidemast,"100"
591910.479999997,6471572.723,Sidemast,"96"
449949.700000003,6542746.07,Torn,"35"
462514.009999998,6541600.56,Torn,"32"
469608.306000002,6543436.162,Sidemast,"80"
603956.387000002,6569167.992,Sidemast,"100"
472581.083999999,6540786.934,Korsten,"29"
473025.924999997,6543671.202,Sidemast,"99"
477418.068000004,6546382.196,Korsten,"14"
476924.027000003,6547042.329,Sidemast,"100"
473282.332000002,6554328.673,Torn,"29"
473211.060000002,6558999.42,Sidemast,"70"
488563.479000002,6554331.538,Sidemast,"80"
471764.528999999,6563291.568,Sidemast,"100"
471333.223999999,6563576.535,Sidemast,"20"
482720.82,6563604.009,Sidemast,"97"
660141.545999996,6470094.838,Sidemast,"40"
480544.93,6567611.13,Korsten,"18"
487103.82,6568908.221,Sidemast,"80"
501422.292000003,6539063.208,Sidemast,"80"
504196.740000002,6539878.289,Sidemast,"60"
590819.405000001,6491726.2,Korsten,"25"
