"date","city","name","offer","price"
"2018-01-18","Tallinn","Kristiine Bistroo","Seljanka",2.2
"2018-01-19","Tallinn","Krua","Tom Yum supp",4
"2017-12-29","Tallinn","City Plaza","Seakael peekoni ja sibulaga",4.9
"2018-03-28","Tartu","La Dolce Vita","Päevapasta rukkola pestoga",4.9
"2018-07-09","Tallinn","Tähesaju Kohvik","Kartuli-hakklihavorm",4.2
"2018-04-19","Tartu","Reval Café Tartu","Virsiku-juustukattega kanafilee porgandi-bataadipüree, valge veini kastme ja kurgi-porgandisalatiga (SG)",4.5
"2017-12-13","Tartu","Fasters Grill-Buffee","Kohupiimakook",1.5
"2018-06-28","Tallinn","Kristiine Bistroo","Seljanka",2.4
"2018-04-06","Tallinn","Söökla","Hapukapsasupp suitsuvorstiga",2
"2018-05-15","Tallinn","Audentese Spordikeskuse Daily","Maapirni- spinatipüreesupp",1.5
"2018-04-13","Tartu","Sheriff Saloon","Lihapallid tomatikastmes üleküpsetatud kartulitega + porgandikook; kohv/tee*",4.9
"2018-03-29","Tartu","Tartu Kohvik","Hapukapsasupp sealihaga",2.2
"2018-05-22","Tartu","Sheriff Saloon","Komplektlõuna: Kanašnitsel üleküpsetatud kartulitega + maasika pitsa; kohv/tee*",4.9
"2018-04-02","Tallinn","Reval Café Müürivahe","Sealihaguljašš spinatise tatra ja peedi-õunasalatiga (L)",4.8
"2018-05-11","Tallinn","TTÜ peahoone Daily","Ahjulõhe",5
"2018-02-01","Tartu","Red Chilli","India juustu masala",3.7
"2018-06-01","Tartu","Werner","Singi-köögiviljasupp",2.5
"2018-02-01","Tartu","Kohvik Spargel","Keedukartul, seapraad, aurutatud aedviljad, kaalika-porgandisalat, leib, sai, maitsevõi, kannuvesi",4.5
"2018-01-29","Tallinn","TTÜ peahoone Daily","Veneetsia singisupp",2
"2018-05-14","Tallinn","Cubanita Live Cafe","Pannkook toormoosiga",1.8
"2018-07-17","Tartu","Kohvik Rabarber","Ahju ribid, kartulipüree, aurutatud aedviljad, kapsa-tomatisalat, leib, sai, maitsevõi, kannuvesi",4.5
"2018-01-05","Tallinn","Nõmme Pubi","Külasupp",2
"2018-06-06","Tallinn","City Plaza","Baklazaanivorm parmesani juustuga",3.5
"2018-05-25","Tallinn","Tatari Söögituba","Pannkoogid(L;G)",2.5
"2018-05-02","Tallinn","Tähesaju Kohvik","Mannapuder kisselliga",1.5
