TOT_P_2018,TOT_P_2006,GRD_ID,TOT_P_2011
2,4,CRS3035RES1000mN3946000E5291000,1
92,50,CRS3035RES1000mN3946000E5292000,36
10,7,CRS3035RES1000mN3946000E5293000,5
7,10,CRS3035RES1000mN3946000E5294000,4
16,28,CRS3035RES1000mN3946000E5295000,34
8,0,CRS3035RES1000mN3946000E5296000,5
56,101,CRS3035RES1000mN3946000E5297000,103
15,15,CRS3035RES1000mN3946000E5298000,10
3,5,CRS3035RES1000mN3946000E5299000,7
2,1,CRS3035RES1000mN3946000E5300000,1
19,9,CRS3035RES1000mN3946000E5301000,4
4,16,CRS3035RES1000mN3946000E5302000,10
3,1,CRS3035RES1000mN3946000E5303000,5
2,1,CRS3035RES1000mN3946000E5304000,0
1,0,CRS3035RES1000mN3946000E5305000,0
0,7,CRS3035RES1000mN3946000E5306000,6
1,1,CRS3035RES1000mN3946000E5307000,0
4,9,CRS3035RES1000mN3946000E5308000,7
3,2,CRS3035RES1000mN3946000E5309000,2
2,1,CRS3035RES1000mN3946000E5310000,0
2,2,CRS3035RES1000mN3946000E5311000,1
2,0,CRS3035RES1000mN3946000E5312000,0
0,0,CRS3035RES1000mN3946000E5314000,0
0,0,CRS3035RES1000mN3946000E5315000,0
2,0,CRS3035RES1000mN3947000E5031000,0
8,0,CRS3035RES1000mN3947000E5032000,0
1,0,CRS3035RES1000mN3947000E5033000,0
1,0,CRS3035RES1000mN3947000E5036000,0
0,0,CRS3035RES1000mN3947000E5037000,0
3,1,CRS3035RES1000mN3947000E5038000,0
0,0,CRS3035RES1000mN3947000E5039000,0
0,0,CRS3035RES1000mN3947000E5282000,5
0,0,CRS3035RES1000mN3947000E5283000,0
1,0,CRS3035RES1000mN3947000E5284000,0
2,0,CRS3035RES1000mN3947000E5285000,0
2,0,CRS3035RES1000mN3947000E5286000,0
1,0,CRS3035RES1000mN3947000E5287000,0
53,65,CRS3035RES1000mN3947000E5288000,45
5,9,CRS3035RES1000mN3947000E5289000,13
3,1,CRS3035RES1000mN3947000E5290000,0
2,7,CRS3035RES1000mN3947000E5291000,4
32,95,CRS3035RES1000mN3947000E5292000,68
19,33,CRS3035RES1000mN3947000E5293000,19
3,6,CRS3035RES1000mN3947000E5294000,3
3,2,CRS3035RES1000mN3947000E5295000,1
6,0,CRS3035RES1000mN3947000E5296000,0
0,0,CRS3035RES1000mN3947000E5297000,0
2,0,CRS3035RES1000mN3947000E5298000,0
22,22,CRS3035RES1000mN3947000E5299000,18
19,26,CRS3035RES1000mN3947000E5300000,23
18,28,CRS3035RES1000mN3947000E5301000,19
30,25,CRS3035RES1000mN3947000E5302000,19
5,6,CRS3035RES1000mN3947000E5303000,7
3,4,CRS3035RES1000mN3947000E5304000,2
6,4,CRS3035RES1000mN3947000E5305000,3
3,10,CRS3035RES1000mN3947000E5306000,4
15,5,CRS3035RES1000mN3947000E5307000,8
7,6,CRS3035RES1000mN3947000E5308000,2
1,0,CRS3035RES1000mN3947000E5309000,0
0,0,CRS3035RES1000mN3947000E5310000,0
3,0,CRS3035RES1000mN3947000E5311000,0
4,4,CRS3035RES1000mN3947000E5312000,3
3,0,CRS3035RES1000mN3947000E5313000,0
1,0,CRS3035RES1000mN3947000E5314000,0
0,0,CRS3035RES1000mN3947000E5315000,0
0,0,CRS3035RES1000mN3947000E5316000,0
0,0,CRS3035RES1000mN3948000E5032000,0
0,0,CRS3035RES1000mN3948000E5035000,0
2,0,CRS3035RES1000mN3948000E5036000,4
1,0,CRS3035RES1000mN3948000E5037000,0
1,4,CRS3035RES1000mN3948000E5038000,4
4,3,CRS3035RES1000mN3948000E5039000,2
2,0,CRS3035RES1000mN3948000E5040000,0
15,0,CRS3035RES1000mN3948000E5170000,12
0,1,CRS3035RES1000mN3948000E5171000,0
3,0,CRS3035RES1000mN3948000E5281000,5
1,0,CRS3035RES1000mN3948000E5282000,0
2,2,CRS3035RES1000mN3948000E5283000,2
7,6,CRS3035RES1000mN3948000E5284000,5
5,10,CRS3035RES1000mN3948000E5285000,5
11,2,CRS3035RES1000mN3948000E5286000,1
5,24,CRS3035RES1000mN3948000E5287000,6
2,14,CRS3035RES1000mN3948000E5288000,9
0,0,CRS3035RES1000mN3948000E5289000,0
1,0,CRS3035RES1000mN3948000E5290000,0
1,0,CRS3035RES1000mN3948000E5291000,0
3,9,CRS3035RES1000mN3948000E5292000,7
5,19,CRS3035RES1000mN3948000E5293000,17
3,1,CRS3035RES1000mN3948000E5294000,4
3,3,CRS3035RES1000mN3948000E5295000,3
3,3,CRS3035RES1000mN3948000E5296000,2
1,0,CRS3035RES1000mN3948000E5297000,0
1,0,CRS3035RES1000mN3948000E5298000,0
2,4,CRS3035RES1000mN3948000E5299000,2
