"Country.Name","Covid.19.Deaths","Cardiovascular.diseases","Respiratory.diseases","Kidney.diseases","Neonatal.disorders","Meningitis","Malaria","Interpersonal.violence","HIV.AIDS","Tuberculosis","Maternal.disorders","Lower.respiratory.infections","Alcohol.use.disorders","Diarrheal.diseases","Poisoning","Nutritional.deficiencies","Alzheimer.s.disease","Parkinson.s.disease","Acute.hepatitis","Digestive.diseases","Cirrhosis.and.other.chronic.liver.diseases","Protein.energy.malnutrition","Neoplasms","Fire..heat","Drowning","Drug.use.disorders","Road.injuries","Environmental.heat.and.cold.exposure","Self.harm","Conflict.and.terrorism","Diabetes"
"Iceland",0.0142156862745098,0.354901960784314,0.0544117647058824,0.0161764705882353,0.00196078431372549,0.000490196078431373,0,0.000980392156862745,0.000490196078431373,0.000490196078431373,0,0.05,0.00392156862745098,0.00245098039215686,0.000490196078431373,0.000980392156862745,0.0740196078431373,0.0181372549019608,0,0.0303921568627451,0.00833333333333333,0.000980392156862745,0.320588235294118,0.000980392156862745,0.000980392156862745,0.00686274509803922,0.0053921568627451,0.000490196078431373,0.0181372549019608,0,0.0127450980392157
"India",0.0166539805131754,0.287325751403475,0.13040112054822,0.0248799651781828,0.0488849205906316,0.00387682898246632,0.00372459514057077,0.00457080994207525,0.00516724517014699,0.0471694996595944,0.00467002979943973,0.0484002053594348,0.00259612272458398,0.0705750064174823,0.000440295092579158,0.00299869418185471,0.0143987098070291,0.00505641804037991,0.00345840913403051,0.0518883023248027,0.0301383944017232,0.00149376667150303,0.10408453219344,0.00288797866047612,0.00603198696414022,0.000944765008538042,0.0236581881494213,0.00126653199254456,0.0218011361733948,7.67865712786973e-05,0.030479023203384
"Indonesia",0.012870853387901,0.3755258379687,0.0581779404559472,0.0242850966942387,0.02197596333977,0.00271781422024959,0.000367178718621206,0.00130328270455659,0.00322967403521918,0.0441242758739949,0.00303426809234228,0.0255451479955039,0.000376401417990028,0.0343482145430441,0.000541833587918264,0.0117289679222988,0.0140536645819523,0.00439000489955904,0.00320488803066548,0.0728287748220307,0.0511110470645877,0.0107450211833876,0.132301928120587,0.000838689223852206,0.00288843415857279,0.000339510620514742,0.021329797965242,7.60872697927775e-05,0.0044142144854022,3.28558665014266e-05,0.0612923307490561
"Iran",0.128305482841052,0.40251477540686,0.0390339701037119,0.0290894083113258,0.0170349021890093,0.00133784382238442,0,0.00512183189540241,0.0027290159080528,0.00189663127679455,0.000496184710555054,0.0236939792390752,0.000579655035695157,0.00223051257735496,0.00180388647108333,0.000533282632839544,0.0322520061860785,0.00660343016663923,0.00108047698653577,0.0266223964794072,0.0158408128154773,0.000401121284701049,0.154865276576604,0.00408772731172225,0.00200792504364802,0.00676573357663387,0.0489738946558124,0.000164622030137425,0.00967328323568078,8.81075654256639e-05,0.0341718236643009
"Iraq",0.0719931734483068,0.448845773825564,0.0184810922482709,0.0442771490164376,0.0408133477050211,0.00239715260935956,0,0.0270367376268751,0.00046034312404563,0.0052883319859876,0.00197610706907392,0.0178411030270367,0.000319994610617084,0.00353116859786221,0.000701742567142729,0.00058384981586275,0.0182958322105452,0.00472693793227342,0.000639989221234169,0.0205245666037905,0.0152699182610258,0.000510868588879907,0.137053130333244,0.00536131321297045,0.00464272882421629,0.00328415521422797,0.0314549088296057,8.42091080571275e-05,0.0116489266145693,0.00998720021557532,0.0519682475523219
"Ireland",0.0675501066738784,0.310916794374831,0.0765648006250188,0.0210342858859942,0.00222362450794795,0.000300489798371345,0,0.000961567354788305,0.000270440818534211,0.000901469395114036,6.00979596742691e-05,0.0514739024610114,0.00285465308452778,0.00147240001201959,0.000300489798371345,0.000300489798371345,0.0497911595901319,0.0122299347937138,3.00489798371345e-05,0.0351573064094474,0.0116590041768082,0.000180293879022807,0.312028606628805,0.00102166531446257,0.00135220409267105,0.00600979596742691,0.00498813065296433,0.000210342858859942,0.0130713062291535,0,0.0150845878782415
"Israel",0.0696800448477047,0.257313705541598,0.042086248780184,0.0574092145422835,0.00469239872931503,0.000581359134605402,0,0.00382036002740693,0.000768224570728568,0.000539833482133588,0.000186865436123165,0.0361065548242427,0.00134958370533397,0.00801445092706019,0.000166102609887258,0.00107966696426718,0.0576583684571144,0.0125615098727239,6.22884787077217e-05,0.0429167618296202,0.0156966966343459,0.000892801528144011,0.303697859352615,0.00103814131179536,0.00097585283308764,0.00130805805286216,0.0126653240039034,0.000332205219774516,0.0113157402985694,0.000124576957415443,0.0549592010464464
"Italy",0.10672461927482,0.338257588759597,0.0448303184246959,0.0236172610670603,0.000865284499822652,0.000264591128044943,0,0.000697948489113148,0.000888168056842756,0.000609274705660248,2.57440016476161e-05,0.0177247451343837,0.000502008032128514,0.00144738498152153,0.000120138674355542,0.00110556184853374,0.0697419306857058,0.0114932665133468,0.000122999118983055,0.0407942310552752,0.0178062678062678,0.000808075607272394,0.274677055801554,0.000719401823819495,0.000502008032128514,0.000805215162644881,0.00754156226043776,0.000257440016476161,0.00617140928385908,0,0.0308784997540018
"Jamaica",0.0159540859309183,0.339985256950295,0.0338037068239259,0.0494418702611626,0.02106149957877,0.00110572872788543,0,0.0221145745577085,0.0220092670598147,0.00052653748946925,0.0014743049705139,0.0250105307497894,0.000473883740522325,0.0023167649536647,0.000157961246840775,0.00342249368155013,0.0410699241786015,0.00784540859309183,0.00010530749789385,0.0282224094355518,0.00974094355518113,0.00305391743892165,0.228411962931761,0.00100042122999158,0.000684498736310025,0.00031592249368155,0.00963563605728728,5.2653748946925e-05,0.00468618365627633,0,0.126316343723673
"Japan",0.00257858644527185,0.271245302144647,0.0406296673616204,0.0330053239326465,0.000341529805939706,0.000296380876369851,0,0.000521397315677674,0.000117241575173332,0.00280505930166257,2.91283416579706e-05,0.0865119029327143,0.000487899722771008,0.00267252534711881,0.00022865748201507,0.00133407804793506,0.120062655062906,0.0121974930692752,7.57336883107237e-05,0.0442758075286568,0.0191140177959603,0.00101585091532173,0.322213346169223,0.00117751321152346,0.00573391405537152,0.00035682218531014,0.00498167463205443,0.00155399702745273,0.0180399101973227,0,0.00639658382809035
"Jordan",0.113338042262641,0.34722467478957,0.0251927717935134,0.0533580552121961,0.0464123844840779,0.00244275707810936,0,0.0103596444758373,0.000794631820589793,0.000853493436929778,0.00223674142091942,0.0310200718111719,0.00050032373888987,0.00200129495555948,0.00176584849019954,0.000529754547059862,0.0225734298663841,0.00565071516863853,0.000323738889869916,0.0324327506033316,0.0189534404614751,0.000470892930719878,0.166078050503267,0.0057684384013185,0.00379657425392901,0.00050032373888987,0.0371416799105303,8.8292424509977e-05,0.00765201012419801,0.000117723232679969,0.0604214491729943
"Kazakhstan",0.0192174599956658,0.457129474927821,0.0683132117415954,0.0130935986074507,0.011136199990213,0.000950736471229736,0,0.0122477227764301,0.00182457513963942,0.0053688647787091,0.000377498304752983,0.0280537166106245,0.011891196599719,0.000412451851489371,0.0032576705558313,0.000845875831020574,0.0162114549763364,0.0051801156263326,0.000146804896292827,0.0621893503533804,0.0468727061734954,0.000587219585171307,0.147315218075178,0.0031947541717058,0.00634756408732794,0.00523604130111082,0.0194411626947786,0.0051801156263326,0.0298852824596112,0,0.0180919557907541
"Kenya",0.0057993914261466,0.140106534923997,0.0265819815219866,0.0164356340000966,0.0631930117505813,0.0151660468229271,0.0277687695354277,0.015890539505551,0.176413968218921,0.0578938652719608,0.0129960187402107,0.0741880507006879,0.00117298815281966,0.0640451531439532,0.00291867052142773,0.0159181392267938,0.00933215574522697,0.00214242836147355,0.00509214856929945,0.0715833270083972,0.0451772937093335,0.0153937445231803,0.0803565883984572,0.00286002111378675,0.00211827860538609,0.000317396794292378,0.0158525898888421,0.000838341532750519,0.0108846400651353,0.000234597630563931,0.0213276845903856
"Kuwait",0.0895865237366003,0.394238131699847,0.0220137825421133,0.0308192955589587,0.0197166921898928,0.00114854517611026,0,0.00401990811638591,0.000287136294027565,0.0024885145482389,0.000287136294027565,0.0639356814701378,0.000957120980091884,0.00057427258805513,0.00181852986217458,9.57120980091884e-05,0.0406776416539051,0.00555130168453292,9.57120980091884e-05,0.0323506891271057,0.0195252679938744,0,0.158212098009188,0.0032542113323124,0.00220137825421133,0.00220137825421133,0.0558001531393568,0.000287136294027565,0.0129211332312404,0,0.0349349157733538
"Kyrgyzstan",0.0371222076215506,0.4785917652212,0.0414202803328953,0.0133869908015769,0.0357807709154621,0.00104029785370127,0,0.00813074901445466,0.00465396408234779,0.0110873850197109,0.00156044678055191,0.0211344721857205,0.011032632501095,0.00257336837494525,0.00210797196671047,0.000246386333771353,0.0197930354796321,0.00314826982041174,0.000492772667542707,0.0679478756022777,0.0586673236968901,0.000191633815155497,0.113611476127902,0.00219010074463425,0.00725470871660096,0.00172470433639947,0.0270203679369251,0.00284713096802453,0.0164257555847569,0,0.00881515549715287
"Laos",0.000800075301204819,0.318218185240964,0.0626647213855422,0.0402861445783133,0.0716067394578313,0.0038121234939759,0.000541227409638554,0.0131777108433735,0.00880082831325301,0.0492516942771084,0.00741246234939759,0.0798192771084337,0.00164721385542169,0.0262848268072289,0.000705948795180723,0.00472985692771084,0.0124482304216867,0.00355327560240964,0.000870670180722892,0.0579819277108434,0.0299557605421687,0.00414156626506024,0.11706984186747,0.00192959337349398,0.00915380271084337,0.00040003765060241,0.0257906626506024,0.000282379518072289,0.0101185993975904,0,0.0365446159638554
"Latvia",0.0233434826736262,0.571951573147745,0.0156952298100623,0.00953313034652748,0.00097868638538495,0.00028998115122517,0,0.0049296795708279,0.00427722198057126,0.00192112512686675,7.24952878062926e-05,0.0126866753661012,0.0103305785123967,0.000144990575612585,0.000543714658547194,0.000181238219515731,0.0373713208641438,0.0068870523415978,3.62476439031463e-05,0.0342540234884732,0.0140640858344208,3.62476439031463e-05,0.203023053501522,0.00409598376105553,0.00442221255618385,0.00184862983906046,0.00685080469769465,0.00387849789763665,0.0142090764100333,0,0.012142960707554
"Lebanon",0.0429604670752607,0.474307955964795,0.0344206582043164,0.0342754233595724,0.0116187875795161,0.000987596944258867,0,0.00627414529293868,0.0017718651058762,0.00121997269584919,0.000493798472129433,0.0264327417433991,0.000435704534231853,0.0017718651058762,0.00101664391320766,0.000435704534231853,0.0364539460307317,0.00656461498242658,0.00412466959072821,0.0278560432218898,0.017311993493479,0.000348563627385482,0.217648938333285,0.00261422720539112,0.00159758329218346,0.00368896505649635,0.0128097133064165,8.71409068463706e-05,0.00511226653498707,0.000406657565283063,0.0249513463270108
"Liberia",0.00296788958020453,0.153722377172281,0.0190946148895087,0.0230637202317099,0.0800972609597368,0.0154473288993778,0.164020596438533,0.00454122863477079,0.0590717299578059,0.0379746835443038,0.0254952442251305,0.0693699492240578,0.0011442465851391,0.0848530358292212,0.00203818922977902,0.0115497389687478,0.0101551884431095,0.00257455481656297,0.0022884931702782,0.0544947436172495,0.0341486090252449,0.010727311735679,0.0734105699778302,0.00382607451905886,0.00307516269756132,0.000250303940499178,0.0179861260101552,0.000679396409926339,0.00926124579846957,0,0.0226703854680684
"Libya",0.0464324746291959,0.398032786885246,0.0366276346604215,0.042903981264637,0.0108977361436378,0.00134270101483216,0,0.00405932864949258,0.00265417642466823,0.00262295081967213,0.000843091334894614,0.026135831381733,0.000749414519906323,0.00218579234972678,0.00206088992974239,0.000562060889929742,0.0341608118657299,0.00633879781420765,0.00140515222482436,0.0350351288056206,0.0226073380171741,0.000437158469945355,0.169711163153786,0.00424668227946916,0.00287275565964091,0.00630757220921155,0.0672911787665886,0.000156128024980484,0.0108352849336456,0.0324434035909446,0.0280405932864949
"Lithuania",0.0460458704098258,0.533926557212683,0.0195262564231107,0.00656723900238125,0.00072690813385136,0.000401052763504198,0,0.00375986965785186,0.00152901366085976,0.00381000125328989,5.01315954380248e-05,0.0133099385887956,0.00794585787692693,0.000350921168066174,0.00208046121067803,0.00010026319087605,0.0386514600827171,0.00691816017044742,2.50657977190124e-05,0.0471738313071813,0.0208046121067803,5.01315954380248e-05,0.197267828048628,0.00150394786314074,0.00421105401679408,0.0042361198145131,0.00656723900238125,0.00501315954380248,0.0214813886451936,0,0.00596565985712495
"Luxembourg",0.110614525139665,0.297653631284916,0.0493854748603352,0.0265921787709497,0.00134078212290503,0.000223463687150838,0,0.00156424581005587,0.000446927374301676,0.000446927374301676,0,0.0306145251396648,0.00625698324022346,0.00379888268156425,0.000223463687150838,0.0017877094972067,0.053854748603352,0.0127374301675978,0,0.0473743016759777,0.0201117318435754,0.00156424581005587,0.289385474860335,0.000670391061452514,0.000670391061452514,0.00335195530726257,0.00849162011173184,0.000223463687150838,0.0154189944134078,0,0.015195530726257
