"x","y","arv06","arv11","arv18"
5285000,3951000,7,3,2
5286000,3951000,2,2,3
5287000,3951000,0,0,0
5288000,3951000,0,0,0
5289000,3951000,0,0,0
5290000,3951000,0,0,0
5291000,3951000,0,0,0
5292000,3951000,0,0,0
5293000,3951000,0,0,0
5294000,3951000,0,0,0
5295000,3951000,0,0,0
5296000,3951000,0,0,0
5297000,3951000,0,0,0
5298000,3951000,0,0,0
5299000,3951000,0,0,0
5300000,3951000,3,2,3
5301000,3951000,5,4,2
5302000,3951000,2,2,1
5303000,3951000,8,5,3
5304000,3951000,0,0,4
5305000,3951000,11,7,5
5306000,3951000,12,12,9
5307000,3951000,0,0,0
5308000,3951000,1,0,0
5309000,3951000,6,1,2
5310000,3951000,1,1,3
5311000,3951000,13,7,11
5312000,3951000,1,2,17
5313000,3951000,15,6,2
5314000,3951000,2,0,3
5315000,3951000,4,7,6
5316000,3951000,3,7,4
5317000,3951000,8,6,9
5318000,3951000,22,17,23
5319000,3951000,7,9,7
5333000,3951000,0,0,0
5334000,3951000,0,0,1
5335000,3951000,0,0,0
5336000,3951000,0,0,0
5337000,3951000,0,0,0
5338000,3951000,0,0,0
5339000,3951000,0,0,0
5340000,3951000,0,0,0
5341000,3951000,0,0,0
5342000,3951000,0,0,0
5343000,3951000,0,0,2
5344000,3951000,3,1,1
5345000,3951000,1,0,2
5346000,3951000,0,0,0
5347000,3951000,0,0,0
5348000,3951000,0,0,0
5349000,3951000,0,0,0
5036000,3952000,0,0,4
5037000,3952000,5,3,11
5038000,3952000,4,2,5
5039000,3952000,15,10,11
5040000,3952000,0,0,4
5167000,3952000,17,12,33
5168000,3952000,5,6,5
5169000,3952000,7,8,8
5170000,3952000,4,4,5
5171000,3952000,19,11,4
5172000,3952000,0,0,1
5277000,3952000,0,5,0
5278000,3952000,0,0,0
5279000,3952000,1,1,1
5280000,3952000,0,0,2
5281000,3952000,0,0,2
5282000,3952000,2,4,3
5283000,3952000,5,4,7
5284000,3952000,2,2,3
5285000,3952000,0,3,3
5286000,3952000,1,1,3
5287000,3952000,0,0,1
5288000,3952000,0,0,0
5289000,3952000,0,0,0
5290000,3952000,0,0,0
5291000,3952000,0,0,0
5292000,3952000,0,0,1
5293000,3952000,0,0,0
5294000,3952000,0,0,0
5295000,3952000,0,0,0
5296000,3952000,1,0,2
5297000,3952000,0,0,0
5298000,3952000,0,0,4
5299000,3952000,0,0,0
5300000,3952000,0,0,1
5301000,3952000,0,0,0
5302000,3952000,0,0,0
5303000,3952000,6,4,7
5304000,3952000,10,7,13
5305000,3952000,4,2,4
5306000,3952000,51,33,23
5307000,3952000,0,0,3
5308000,3952000,0,0,3
5309000,3952000,1,0,0
5310000,3952000,0,0,0
5311000,3952000,0,0,0
5312000,3952000,0,0,0
5313000,3952000,5,4,2
5314000,3952000,0,0,3
5315000,3952000,0,0,1
5316000,3952000,0,0,1
5317000,3952000,80,83,88
5318000,3952000,20,14,2
5319000,3952000,2,9,3
5329000,3952000,0,5,0
5330000,3952000,11,1,10
5331000,3952000,2,6,5
5332000,3952000,3,2,3
5333000,3952000,0,0,1
5334000,3952000,1,0,2
5335000,3952000,0,0,2
5336000,3952000,0,0,0
5337000,3952000,0,0,0
5338000,3952000,0,0,0
5339000,3952000,0,0,0
5340000,3952000,0,0,0
5341000,3952000,14,10,6
5342000,3952000,5,2,2
5343000,3952000,3,1,3
5344000,3952000,0,2,2
5345000,3952000,0,0,0
5346000,3952000,0,0,0
5347000,3952000,0,0,0
5348000,3952000,0,0,0
5349000,3952000,0,0,0
5033000,3953000,0,0,0
5036000,3953000,2,2,3
5037000,3953000,5,3,5
5038000,3953000,0,0,3
5039000,3953000,17,14,8
5040000,3953000,3,3,6
5057000,3953000,0,0,0
5058000,3953000,0,0,0
5167000,3953000,11,7,8
5168000,3953000,11,19,10
5169000,3953000,22,11,9
5170000,3953000,7,6,4
5171000,3953000,2,5,3
5172000,3953000,0,0,1
5278000,3953000,0,0,0
5279000,3953000,0,0,0
5280000,3953000,0,0,0
5281000,3953000,19,19,16
5282000,3953000,108,98,91
5283000,3953000,11,6,6
5284000,3953000,8,6,2
5285000,3953000,3,1,3
5286000,3953000,2,1,3
5287000,3953000,0,0,2
5288000,3953000,0,0,2
5289000,3953000,0,0,0
5290000,3953000,0,0,0
5291000,3953000,2,2,1
5292000,3953000,2,1,2
5293000,3953000,0,0,0
5294000,3953000,0,0,0
5295000,3953000,0,0,0
5296000,3953000,0,0,1
5297000,3953000,0,0,0
5298000,3953000,9,6,4
5299000,3953000,12,7,8
5300000,3953000,0,0,0
5301000,3953000,0,0,0
5302000,3953000,0,0,0
5303000,3953000,0,0,0
5304000,3953000,3,2,3
5305000,3953000,4,0,3
5306000,3953000,308,239,262
5307000,3953000,16,12,11
5308000,3953000,0,0,3
5309000,3953000,1,0,0
5310000,3953000,0,0,0
5311000,3953000,0,0,0
5312000,3953000,0,0,0
5313000,3953000,17,13,15
5314000,3953000,0,0,0
5315000,3953000,0,0,0
5316000,3953000,0,0,0
5317000,3953000,2,2,0
5318000,3953000,2,0,3
5319000,3953000,0,0,1
5323000,3953000,1,5,3
5324000,3953000,6,1,4
5325000,3953000,0,0,5
5330000,3953000,1,0,4
5331000,3953000,4,0,2
5332000,3953000,1,0,1
5333000,3953000,8,6,0
5334000,3953000,0,0,0
5335000,3953000,0,0,0
5336000,3953000,0,0,0
5337000,3953000,0,0,0
5338000,3953000,0,0,0
5339000,3953000,0,0,0
5340000,3953000,0,0,2
5341000,3953000,3,2,9
5342000,3953000,0,0,2
5343000,3953000,0,0,1
5344000,3953000,0,0,0
5345000,3953000,0,0,0
5346000,3953000,0,0,0
5347000,3953000,0,0,0
5348000,3953000,0,0,0
5033000,3954000,0,0,0
5037000,3954000,0,0,1
5038000,3954000,0,0,4
5039000,3954000,0,0,5
5040000,3954000,3,3,6
5054000,3954000,0,0,0
5167000,3954000,0,0,2
5168000,3954000,166,135,146
5169000,3954000,0,0,2
5170000,3954000,0,0,1
5171000,3954000,0,0,1
5172000,3954000,0,0,0
5278000,3954000,0,0,0
5279000,3954000,0,0,2
5280000,3954000,2,2,6
5281000,3954000,0,0,1
5282000,3954000,15,10,2
5283000,3954000,3,1,3
5284000,3954000,2,2,3
5285000,3954000,3,1,3
5286000,3954000,0,0,1
5287000,3954000,0,0,1
5288000,3954000,0,0,0
5289000,3954000,0,0,2
5290000,3954000,2,0,3
5291000,3954000,7,0,3
5292000,3954000,1,0,3
5293000,3954000,0,0,1
5294000,3954000,0,0,0
5295000,3954000,0,0,1
5296000,3954000,0,0,1
5297000,3954000,0,0,0
5298000,3954000,0,0,0
5299000,3954000,0,0,0
5300000,3954000,0,0,0
5301000,3954000,0,0,0
5302000,3954000,0,0,0
5303000,3954000,0,0,0
5304000,3954000,0,0,0
5305000,3954000,4,2,4
5306000,3954000,9,6,17
5307000,3954000,49,39,20
5308000,3954000,12,11,7
5309000,3954000,4,5,3
5310000,3954000,0,0,3
5311000,3954000,1,1,2
5312000,3954000,0,0,1
5313000,3954000,0,0,0
5314000,3954000,0,0,0
5315000,3954000,0,0,0
5316000,3954000,10,4,4
5317000,3954000,12,11,12
5318000,3954000,0,0,3
5319000,3954000,0,0,3
5320000,3954000,0,0,3
5323000,3954000,0,0,1
5324000,3954000,0,0,3
5325000,3954000,4,8,8
5326000,3954000,0,5,4
5327000,3954000,0,0,2
5328000,3954000,5,0,4
5329000,3954000,0,1,3
5330000,3954000,0,2,3
5331000,3954000,5,2,3
5332000,3954000,11,9,18
5333000,3954000,0,0,0
5334000,3954000,0,0,0
5335000,3954000,0,0,0
5336000,3954000,0,0,0
5337000,3954000,0,0,2
5338000,3954000,2,3,2
5339000,3954000,1,0,2
5340000,3954000,3,2,1
5341000,3954000,11,7,7
5342000,3954000,9,4,4
5343000,3954000,0,0,0
5344000,3954000,0,0,0
5345000,3954000,0,0,0
5346000,3954000,0,0,2
5347000,3954000,0,0,1
5348000,3954000,0,0,0
5033000,3955000,0,0,2
5034000,3955000,0,0,2
5037000,3955000,2,0,2
5038000,3955000,1,0,2
5039000,3955000,136,95,96
5040000,3955000,0,0,1
5054000,3955000,0,0,0
5055000,3955000,0,0,0
5167000,3955000,0,0,0
5168000,3955000,37,28,18
5169000,3955000,0,0,0
5170000,3955000,0,0,0
5171000,3955000,0,0,0
5172000,3955000,0,0,0
5276000,3955000,3,8,3
5277000,3955000,0,0,0
5278000,3955000,1,1,3
5279000,3955000,11,9,5
5280000,3955000,6,7,3
5281000,3955000,0,0,3
5282000,3955000,1,0,3
5283000,3955000,2,1,3
5284000,3955000,4,4,4
5285000,3955000,1,2,3
5286000,3955000,0,0,2
5287000,3955000,2,1,2
5288000,3955000,0,0,0
5289000,3955000,0,0,0
5290000,3955000,0,0,2
5291000,3955000,4,7,2
5292000,3955000,0,0,1
5293000,3955000,0,0,0
5294000,3955000,0,0,0
5295000,3955000,0,0,2
5296000,3955000,0,0,1
5297000,3955000,0,0,1
5298000,3955000,0,0,0
5299000,3955000,0,0,0
5300000,3955000,0,0,0
5301000,3955000,1,0,1
5302000,3955000,0,0,0
5303000,3955000,1,1,2
5304000,3955000,0,0,3
5305000,3955000,8,4,3
5306000,3955000,1,0,2
5307000,3955000,2,1,9
5308000,3955000,9,10,18
5309000,3955000,4,4,10
5310000,3955000,2,8,1
5311000,3955000,11,10,9
5312000,3955000,3,2,1
5313000,3955000,0,0,0
5314000,3955000,0,1,1
5315000,3955000,0,0,3
5316000,3955000,7,5,4
5317000,3955000,6,3,12
5318000,3955000,3,3,3
5319000,3955000,8,5,3
5320000,3955000,1,0,4
5321000,3955000,0,0,0
5322000,3955000,0,0,0
5323000,3955000,0,0,2
5324000,3955000,0,0,0
5325000,3955000,0,0,0
5326000,3955000,1,1,1
5327000,3955000,8,4,9
5328000,3955000,10,6,4
5329000,3955000,1,1,3
5330000,3955000,10,9,8
5331000,3955000,10,8,6
5332000,3955000,5,5,3
5333000,3955000,4,4,9
5334000,3955000,2,1,1
