"kov","Sugu.Mehed","Sugu.Naised","Kodakondsus.Eesti kodakondsus","Kodakondsus.Kodakondsus määramata","Kodakondsus.Kodakondsus teadmata","Kodakondsus.Muu riigi kodakondsus","Kodakondsus.Venemaa kodakondsus","Vanuserühm.0-14","Vanuserühm.15-29","Vanuserühm.30-49","Vanuserühm.50-64","Vanuserühm.65 ja vanemad"
"Paide linn",0.47174517893121,0.52825482106879,0.969682433080687,0.00671591672263264,0,0.0187086251559052,0.00489302504077521,0.151491892929099,0.151587834596565,0.246761968723016,0.209152835076274,0.241005468675046
"Pärnu linn",0.462297131027479,0.537702868972521,0.933832002031131,0.0158975060055075,0.000292951584868074,0.0289436165849657,0.0210339237935277,0.163916176786516,0.149053766380876,0.263929847860477,0.199851571197,0.22324863777513
"Peipsiääre vald",0.48815815228029,0.51184184771971,0.953807007242122,0.0166373067136426,0,0.00978665100802505,0.0197690350362106,0.135055783910746,0.164611469954981,0.221961244862008,0.22665883734586,0.251712663926404
"Põhja-Pärnumaa vald",0.478606965174129,0.521393034825871,0.976119402985075,0.00634328358208955,0,0.0138059701492537,0.00373134328358209,0.142412935323383,0.144154228855721,0.226616915422886,0.223507462686567,0.263308457711443
"Põhja-Sakala vald",0.496057903580199,0.503942096419801,0.984360863383741,0.00232648313299729,0,0.0112446684761535,0.0020679850071087,0.154194132092542,0.157166860540261,0.228124596096678,0.219723407005299,0.240791004265219
"Põltsamaa vald",0.483661478198124,0.516338521801876,0.981239047520874,0.00680342232759509,0,0.0101020513349139,0.00185547881661684,0.145964333573858,0.159158849603134,0.223791361715287,0.215647871353469,0.255437583754252
"Põlva vald",0.485710021640176,0.514289978359824,0.987538243414671,0.00455189911200657,0.000596970375345124,0.00477576300276099,0.00253712409521677,0.151928960525334,0.156853966121931,0.246026415939109,0.212819938810537,0.232370718603089
"Raasiku vald",0.493844049247606,0.506155950752394,0.969708813758061,0.0117256204807504,0,0.00879421536056283,0.00977135040062537,0.210865741645495,0.160445573578269,0.304866132499511,0.163963259722494,0.159859292554231
"Rae vald",0.51172540285602,0.48827459714398,0.941744180968601,0.0199135333420673,0.000262020175553518,0.0233197956242631,0.0147604698895148,0.277828726145247,0.132363858683785,0.398882047250972,0.112625005458754,0.0783003624612428
"Rakvere linn",0.464601769911504,0.535398230088496,0.946770571919165,0.0170387003037908,0.000198124422137102,0.0173028661999736,0.0186897371549333,0.159159952450139,0.154933298111214,0.266345264826311,0.20353982300885,0.216021661603487
"Rakvere vald",0.488347826086957,0.511652173913044,0.955130434782609,0.02,0,0.0137391304347826,0.0111304347826087,0.173391304347826,0.160521739130435,0.270782608695652,0.199130434782609,0.196173913043478
"Räpina vald",0.486477680026067,0.513522319973933,0.969371130661453,0.00961225154773542,0,0.00993809058325187,0.0110785272075595,0.125285109156077,0.147768002606712,0.225806451612903,0.242587161942001,0.258553274682307
"Rapla vald",0.482842208923566,0.517157791076434,0.98113779259147,0.00560563593667146,0.00022725551094614,0.0123475494280736,0.000681766532838421,0.169153851980911,0.151276418453147,0.258238012271798,0.20983258844027,0.211499128853875
"Rõuge vald",0.507139942880457,0.492860057119543,0.958180334557324,0.00938392492860057,0.0104039167686659,0.0206038351693186,0.00142798857609139,0.129946960424317,0.159322725418197,0.231334149326805,0.235414116687066,0.243982048143615
"Ruhnu vald",0.44578313253012,0.55421686746988,1,0,0,0,0,0.036144578313253,0.253012048192771,0.289156626506024,0.204819277108434,0.216867469879518
"Saarde vald",0.493458801927932,0.506541198072068,0.985081478081249,0.00413128299288501,0,0.0107872389258664,0,0.13151250860684,0.151250860683957,0.218728482901079,0.229745237548772,0.268762910259353
"Saaremaa vald",0.479295750804131,0.520704249195869,0.98564415100728,0.0010496021669206,0,0.0114440494328762,0.00186219739292365,0.153919079058744,0.150194684272897,0.246521076688674,0.226307770441849,0.223057389537836
"Saku vald",0.499545949872866,0.500454050127134,0.968125681075191,0.010352342898656,0,0.0130766436614602,0.00844533236469306,0.225481293134762,0.156556483835815,0.317925899019252,0.164456956047948,0.135579367962223
"Saue vald",0.494109350369203,0.505890649630797,0.96212561188086,0.0129843192566166,0.000248900688625239,0.0162200282087447,0.0084211399651539,0.222392765286651,0.149008545590309,0.318468431095993,0.167219779308056,0.142910478718991
"Setomaa vald",0.504748505100246,0.495251494899754,0.97397115722828,0.0049243756595146,0,0.011607456911713,0.00949701020049244,0.11712979247274,0.150193457615195,0.22230038691523,0.264157580021104,0.24621878297573
"Sillamäe linn",0.454552760588283,0.545447239411717,0.397974764928072,0.175922205255967,0,0.0232259101502853,0.402877119665675,0.110825363658282,0.123764365506711,0.236116692116049,0.249537892791128,0.279755685927831
"Tallinn",0.468360068247693,0.531639931752308,0.772500839391801,0.0744786063583643,0.000952452737102488,0.0776762894085885,0.074391812104144,0.158605079291119,0.150133503267347,0.325976378258496,0.175600764703061,0.189684274479977
"Tapa vald",0.470545121392579,0.529454878607421,0.863215758131012,0.0564360971140632,0,0.0276683463124141,0.0526797984425103,0.146770499312872,0.161337608795236,0.234448007329363,0.207879065506184,0.249564819056344
"Tartu linn",0.469508350114928,0.530491649885071,0.911037204287952,0.0182461707451028,0.000305119912125465,0.0471511970871219,0.023260307967698,0.173836984601615,0.171294318667236,0.29969894835337,0.171314659994711,0.183855088383068
"Tartu vald",0.498422443932805,0.501577556067195,0.976379295642534,0.00707768397714676,0.000255819902788437,0.0116824422273386,0.00460475825019187,0.21923765668969,0.160228532446491,0.31593757994372,0.169949688752452,0.134646542167647
"Toila vald",0.481481481481481,0.518518518518518,0.850011502185415,0.0616517138256269,0,0.0128824476650564,0.0754543363239015,0.143547273982057,0.149068322981366,0.234874626178974,0.238555325511847,0.233954451345756
"Tori vald",0.485336254845778,0.514663745154222,0.962160795550312,0.0152536659362886,0.000337097589752233,0.0101972020900051,0.0120512388336423,0.18793190628687,0.162481038260576,0.267234114276083,0.198213382774313,0.184139558402157
"Tõrva vald",0.484249957432317,0.515750042567683,0.986718883024008,0.00561893410522731,0,0.00630001702707305,0.00136216584369147,0.14251660139622,0.15443555252852,0.222714115443555,0.225268176400477,0.255065554231228
"Türi vald",0.479627364260845,0.520372635739155,0.97910981462313,0.0059282958501929,0,0.0127034911075562,0.00225839841912111,0.141149901195069,0.147925096452432,0.227345440858191,0.227251340924061,0.256328220570246
"Väike-Maarja vald",0.490783410138249,0.509216589861751,0.976958525345622,0.0102800425381071,0.000708968450903935,0.00886210563629919,0.00319035802906771,0.158099964551577,0.158454448777029,0.219248493442042,0.218539524991138,0.245657568238213
"Valga vald",0.480205986482137,0.519794013517863,0.800128741551336,0.0690698422915996,0.00199549404570325,0.0985516575474734,0.030254264563888,0.141036369488252,0.158995815899582,0.240875442549083,0.216672030897972,0.242420341165111
"Viimsi vald",0.486029176384506,0.513970823615494,0.931815063794759,0.0172405908446518,0.000548772122376183,0.0283989573329675,0.0219966159052453,0.220560662185028,0.149906251429094,0.327434033017789,0.167329766314538,0.134769287053551
"Viljandi linn",0.456955563290405,0.543044436709595,0.97656340642766,0.00417681865645667,0.000232045480914259,0.0146188652975983,0.00440886413737092,0.160749506903353,0.152569903701125,0.257976563406428,0.194860192597749,0.233843833391345
"Viljandi vald",0.493316406541707,0.506683593458293,0.983122993055037,0.0064222238817116,0,0.00799044134119931,0.00246434172205212,0.150100813979539,0.161974460458517,0.242177581958032,0.212978866402808,0.232768277201105
"Vinni vald",0.493054518297237,0.506945481702763,0.977893950709485,0.0094100074682599,0,0.00866318147871546,0.00403286034353996,0.167289021657954,0.149962658700523,0.246004480955937,0.226437640029873,0.210306198655713
"Viru-Nigula vald",0.479687777186447,0.520312222813553,0.828632251197445,0.0986340251907043,0,0.0164981373070782,0.056235586304772,0.135533084974277,0.147064041156644,0.22370054993791,0.22370054993791,0.270001773993259
"Vormsi vald",0.49185667752443,0.50814332247557,0.970684039087948,0,0,0.0293159609120521,0,0.0977198697068404,0.107491856677524,0.247557003257329,0.234527687296417,0.312703583061889
"Võru linn",0.459060629058099,0.540939370941901,0.97546167467746,0.00505944852011131,0.00118053798802597,0.0065772830761447,0.0117210557382579,0.152036428029345,0.155662366135425,0.2500210810355,0.208364954886584,0.233915169913146
"Võru vald",0.495994595116302,0.504005404883698,0.987549464337419,0.00453624167551395,0.000289547340990252,0.00646655728211563,0.00115818936396101,0.155100858990445,0.165138500144774,0.247756008107326,0.220152494932922,0.211852137824534
