"x","y","maakond","registreeriti","loomad"
683577,6423209,"võru maakond","2003","kits;kuulik;munakana"
681743,6437979,"põlva maakond","2003","munakana"
681804,6438056,"põlva maakond","2003","munakana"
684065,6392609,"võru maakond","2003","hobune"
681770,6438047,"põlva maakond","2003","munakana"
681751,6437910,"põlva maakond","2003","munakana"
680719,6435533,"põlva maakond","2003","munakana"
680668,6435373,"põlva maakond","2003","munakana"
679404,6436367,"põlva maakond","2003","munakana"
677160,6418780,"võru maakond","2003","lammas;munakana"
689469,6416000,"võru maakond","2003","veis"
671844,6403502,"võru maakond","2003","veis"
668958,6439628,"põlva maakond","2003","veis"
665677,6440306,"põlva maakond","2003","veis"
692113,6433178,"põlva maakond","2003","kits;lammas;veis"
667669,6429505,"põlva maakond","2003","munakana"
654490,6433779,"põlva maakond","2003","hani;kalkun;kits;kuulik;lammas;munakana;parlkana;part;vutt"
654506,6433786,"põlva maakond","2003","munakana"
677373,6417834,"võru maakond","2003","kits"
677827,6422360,"võru maakond","2003","veis"
691554,6440631,"põlva maakond","2003","veis"
686179,6424038,"võru maakond","2003","hobune;munakana;veis"
658685,6437753,"põlva maakond","2003","hobune"
706818,6441551,"põlva maakond","2003","lammas;mesilane"
655100,6437801,"põlva maakond","2003","lammas"
659950,6433732,"põlva maakond","2003","mesilane"
708856,6437878,"võru maakond","2003","mesilane"
654258,6442907,"põlva maakond","2003","veis"
656777,6438324,"põlva maakond","2003","veis"
702115,6446876,"põlva maakond","2003","munakana;siga"
698328,6443731,"põlva maakond","2003","munakana"
663714,6429848,"põlva maakond","2003","veis"
674002,6426019,"põlva maakond","2003","veis"
661923,6438986,"põlva maakond","2003","veis"
661884,6438995,"põlva maakond","2003","veis"
659422,6440078,"põlva maakond","2003","lammas;veis"
659341,6440140,"põlva maakond","2003","lammas;veis"
665826,6430744,"põlva maakond","2003","munakana"
697819,6432938,"põlva maakond","2003","siga"
676727,6436645,"põlva maakond","2003","veis"
674213,6436523,"põlva maakond","2003","veis"
671825,6434751,"põlva maakond","2003","kuulik;lammas"
657974,6442124,"põlva maakond","2003","veis"
697917,6433162,"põlva maakond","2003",""
678849,6440421,"põlva maakond","2003","siga"
675438,6439944,"põlva maakond","2003",""
675359,6440077,"põlva maakond","2003",""
674272,6439993,"põlva maakond","2003",""
674383,6439966,"põlva maakond","2003","veis"
685039,6406346,"võru maakond","2003","hani"
692205,6414604,"võru maakond","2003","veis"
659876,6404204,"võru maakond","2003","munakana"
645931,6389277,"valga maakond","2003","veis"
627210,6409687,"valga maakond","2003","hani;munakana;part;veis"
639993,6445950,"tartu maakond","2003","munakana"
635584,6400659,"valga maakond","2003","munakana"
680988,6446245,"põlva maakond","2003","veis"
682584,6434058,"põlva maakond","2003","veis"
630934,6404183,"valga maakond","2003","munakana"
681957,6443176,"põlva maakond","2003","veis"
709137,6412612,"võru maakond","2003","munakana"
660855,6415172,"võru maakond","2003","hobune;munakana"
700628,6418661,"võru maakond","2003","veis"
657513,6432312,"põlva maakond","2003","munakana"
704550,6407089,"võru maakond","2003",""
709356,6414701,"võru maakond","2003","munakana"
653886,6425812,"põlva maakond","2003","veis"
629373,6420077,"valga maakond","2003","veis"
641200,6441010,"valga maakond","2003","veis"
648580,6429930,"valga maakond","2003","lammas"
624560,6409980,"valga maakond","2003","hani;hobune;kits;munakana"
700785,6436188,"põlva maakond","2003","lammas"
670419,6436246,"põlva maakond","2003","hobune;munakana;veis"
628242,6401553,"valga maakond","2003","munakana;veis"
629359,6427992,"valga maakond","2003","lammas"
644273,6434766,"valga maakond","2003","hani;kalkun;munakana;veis"
629236,6406033,"valga maakond","2003","munakana"
690086,6429701,"põlva maakond","2003","lammas"
627164,6432603,"valga maakond","2003","hani;kalkun;munakana"
684512,6392623,"võru maakond","2003","munakana"
703672,6435357,"põlva maakond","2003","munakana;veis"
662994,6431342,"põlva maakond","2003","veis"
663923,6430873,"põlva maakond","2003","veis"
705064,6435590,"võru maakond","2003","lammas"
700562,6434026,"põlva maakond","2003","munakana;veis"
687328,6444335,"põlva maakond","2003","veis"
660681,6442979,"põlva maakond","2004","siga"
618956,6424287,"valga maakond","2004","munakana;veis"
625575,6413786,"valga maakond","2004","veis"
646290,6433530,"valga maakond","2004","veis"
636743,6400274,"valga maakond","2004","veis"
646291,6398926,"valga maakond","2004","veis"
634718,6403230,"valga maakond","2004","kits;kuulik;lammas;munakana"
