"lon","lat","nädalapäev","sündmus","koht","kahjusumma"
544500,6588500,"Reede","vandalism","avalik_koht,tanav_valjak","0-499"
542000,6588000,"Neljapäev","vandalism","avalik_koht,oueala_lahtine_hoov","0-499"
540500,6588000,"Neljapäev","vandalism","avalik_koht,tanav_valjak","0-499"
537000,6586500,"Kolmapäev","vandalism","avalik_koht,tanav_valjak","0-499"
541500,6589500,"Teisipäev","vandalism","avalik_koht,tanav_valjak","0-499"
543000,6588000,"Reede","vandalism","avalik_koht,tanav_valjak","0-499"
544000,6588000,"Kolmapäev","vandalism","avalik_koht,muu koht","0-499"
539000,6590000,"Teisipäev","vandalism","avalik_koht,kauplus","0-499"
557000,6594000,"Teisipäev","vandalism","avalik_koht,tanav_valjak","500-4999"
542000,6588500,"Teisipäev","vandalism","avalik_koht,tanav_valjak","500-4999"
545500,6590000,"Esmaspäev","vandalism","avalik_koht","0-499"
542000,6588500,"Pühapäev","vandalism","avalik_koht,tanav_valjak","0-499"
542500,6588500,"Laupäev","vandalism","avalik_koht,kaubamaja","0-499"
659500,6474000,"Laupäev","vandalism","avalik_koht","0-499"
6e+05,6610000,"Reede","muu,vandalism","avalik_koht,tanav_valjak","0-499"
542000,6588500,"Neljapäev","vandalism","avalik_koht,kauplus","0-499"
538500,6590000,"Kolmapäev","vandalism","avalik_koht,tanav_valjak","0-499"
544500,6587500,"Esmaspäev","vandalism","avalik_koht,kauplus","0-499"
659500,6474000,"Laupäev","vandalism","avalik_koht","0-499"
637000,6513000,"Reede","vandalism","avalik_koht","0-499"
542500,6588000,"Neljapäev","vandalism","avalik_koht,tanav_valjak","0-499"
551000,6597000,"Teisipäev","vandalism","avalik_koht,tanav_valjak","0-499"
609000,6456000,"Esmaspäev","vandalism","avalik_koht","0-499"
549500,6590500,"Pühapäev","vandalism","avalik_koht,tanav_valjak","0-499"
549500,6590500,"Pühapäev","vandalism","avalik_koht,tanav_valjak","0-499"
593500,6471500,"Pühapäev","vandalism","avalik_koht,muu koht","0-499"
542500,6588500,"Laupäev","vandalism","avalik_koht,muu koht,tanav_valjak","0-499"
546000,6588000,"Reede","vandalism","avalik_koht,tanav_valjak","0-499"
557000,6594000,"Reede","vandalism","avalik_koht","0-499"
544000,6540000,"Pühapäev","vandalism","avalik_koht","0-499"
539000,6590500,"Laupäev","vandalism","avalik_koht,tanav_valjak","500-4999"
540000,6590500,"Reede","vandalism","avalik_koht,tanav_valjak","0-499"
557000,6594000,"Reede","vandalism","avalik_koht,tanav_valjak","5000-49999"
557000,6594000,"Neljapäev","vandalism","avalik_koht,oueala_lahtine_hoov","0-499"
539000,6590500,"Kolmapäev","vandalism","avalik_koht,tanav_valjak","500-4999"
546000,6597000,"Teisipäev","vandalism","avalik_koht","0-499"
544000,6588500,"Esmaspäev","vandalism,avaliku_korra_rikkumine","avalik_koht,tanav_valjak","0-499"
540000,6590500,"Pühapäev","vandalism","avalik_koht,tanav_valjak","0-499"
542000,6589000,"Laupäev","vandalism","avalik_koht,tanav_valjak","0-499"
546000,6588000,"Laupäev","vandalism","avalik_koht,parkla,tanav_valjak","0-499"
547500,6589000,"Laupäev","vandalism","avalik_koht,parkla,tanav_valjak","0-499"
659000,6471500,"Laupäev","vandalism","avalik_koht","0-499"
540000,6588500,"Neljapäev","vandalism","avalik_koht","0-499"
539000,6590000,"Kolmapäev","vandalism","avalik_koht,tanav_valjak","0-499"
595000,6569000,"Esmaspäev","vandalism","avalik_koht,tanav_valjak","0-499"
543000,6589500,"Pühapäev","vandalism,vargus","avalik_koht,tanav_valjak","0-499"
541500,6589500,"Pühapäev","vandalism","avalik_koht,kiosk,turg","0-499"
