"make","model","price.usd","year","condition","mileage.km","fuel","volume.l","color","transmission","drive"
"mercedes-benz","s-klass",10999,2006,"with mileage",220000,"petrol",5,"black","auto","rear drive"
"ford","galaxy",6690,2002,"with mileage",330000,"diesel",1.9,"silver","mechanics","front-wheel drive"
"opel","zafira",4150,2001,"with mileage",300000,"diesel",2,"black","mechanics","front-wheel drive"
"bmw","x3",9700,2010,"with mileage",327400,"petrol",2.996,"burgundy","auto","all-wheel drive"
"citroen","c3-picasso",7400,2010,"with mileage",171000,"petrol",1.6,"gray","mechanics","front-wheel drive"
"infiniti","fx",7900,2003,"with mileage",305774.6,"petrol",3.5,"black","auto","part-time four-wheel drive"
"peugeot","605",1300,1995,"with mileage",300000,"petrol",2,"blue","mechanics","front-wheel drive"
"lexus","gs",10950,2008,"with mileage",208980,"petrol",3,"black","auto","rear drive"
"volkswagen","passat",6000,2006,"with mileage",213000,"petrol",2,"gray","mechanics","front-wheel drive"
"volkswagen","multivan",14500,2002,"with mileage",394500,"diesel",2.5,"silver","mechanics","front-wheel drive"
"volvo","s60",5500,2003,"with mileage",229000,"petrol",2.4,"burgundy","auto","front-wheel drive"
"renault","kangoo",12700,2016,"with mileage",90000,"diesel",1.5,"silver","mechanics","front-wheel drive"
"renault","espace",4900,2004,"with mileage",215066,"diesel",2.2,"gray","auto","front-wheel drive"
"mitsubishi","lancer",450,1996,"for parts",380000,"petrol",1.3,"red","mechanics","front-wheel drive"
"opel","vectra",600,1997,"with damage",200000,"petrol",1.6,"burgundy","mechanics","front-wheel drive"
"skoda","yeti",10000,2014,"with mileage",80000,"petrol",1.2,"white","auto","front-wheel drive"
"bmw","1-seriya",6950,2008,"with mileage",110000,"petrol",1.6,"white","auto","rear drive"
"mazda","xedos-6",1700,1993,"with mileage",281634.5,"petrol",2,"burgundy","mechanics","front-wheel drive"
"volkswagen","passat",6800,2006,"with mileage",210000,"diesel",2,"black","mechanics","front-wheel drive"
"peugeot","407",8699,2005,"with mileage",239000,"diesel",2.7,"black","auto","front-wheel drive"
"renault","scenic",3500,2001,"with mileage",317000,"diesel",1.9,"gray","mechanics","front-wheel drive"
"renault","grand-scenic",10199,2013,"with mileage",148500,"diesel",1.5,"brown","mechanics","front-wheel drive"
"nissan","altima",4400,2003,"with mileage",402335,"petrol",2.5,"silver","auto",""
"lexus","ct",13950,2011,"with mileage",168980.7,"petrol",1.8,"silver","auto","front-wheel drive"
"audi","a4",10999,2008,"with mileage",220695,"diesel",2,"blue","auto","front-wheel drive"
